Image_RID,XZP_pred,XZP_prob_airplane,XZP_prob_automobile,XZP_prob_bird,XZP_prob_cat,XZP_prob_deer,XZP_prob_dog,XZP_prob_frog,XZP_prob_horse,XZP_prob_ship,XZP_prob_truck,Z1R_pred,Z1R_prob_airplane,Z1R_prob_automobile,Z1R_prob_bird,Z1R_prob_cat,Z1R_prob_deer,Z1R_prob_dog,Z1R_prob_frog,Z1R_prob_horse,Z1R_prob_ship,Z1R_prob_truck,103T_pred,103T_prob_airplane,103T_prob_automobile,103T_prob_bird,103T_prob_cat,103T_prob_deer,103T_prob_dog,103T_prob_frog,103T_prob_horse,103T_prob_ship,103T_prob_truck,True_Class
5T2,airplane,0.20389177,0.06960409,0.070332356,0.08847276,0.08878274,0.15703568,0.078287534,0.0855026,0.08921565,0.06887477,deer,0.08487153,0.0008577941,0.21520351,0.090155855,0.23802383,0.094327405,0.23686528,0.03198315,0.0030938159,0.0046178955,bird,0.19511846,9.458645e-08,0.45727053,0.06970275,0.0038490745,0.010792871,0.2631606,0.00010396193,9.4184674e-07,6.336214e-07,cat
5T4,frog,0.011154452,0.09605205,0.15300706,0.09150969,0.13456964,0.11184831,0.21242012,0.08247745,0.024417168,0.082544036,bird,0.002590535,0.01052185,0.25802878,0.12566474,0.19990912,0.15605251,0.2181678,0.026320508,0.0009555627,0.0017885747,dog,0.00022877006,0.008168854,0.07804981,0.21290737,0.011402644,0.6799165,0.0059051244,0.0034091729,7.7781735e-08,1.1664301e-05,bird
5T6,frog,0.00853522,0.081271775,0.15398647,0.08101631,0.1348339,0.099316455,0.2477753,0.09871696,0.019522771,0.07502487,frog,0.0010767032,0.00478397,0.06854451,0.09353199,0.38462922,0.035317816,0.38890266,0.016670546,0.0026336187,0.0039089606,deer,1.1836865e-05,3.6170928e-05,0.00036172583,0.00013643282,0.63317806,0.00023531317,0.36587027,5.1042713e-05,2.8536815e-07,0.00011883744,frog
5T8,truck,0.016056169,0.11065572,0.10457693,0.0737888,0.1427877,0.07037138,0.1570927,0.08097826,0.046899155,0.19679324,frog,0.014127787,0.030011507,0.121543795,0.0692921,0.19011477,0.033965107,0.3469913,0.028120378,0.08332667,0.0825066,frog,0.00010429487,2.031923e-05,0.005659755,5.0281516e-05,4.6632387e-05,0.00021268098,0.9919803,7.694249e-05,7.051858e-05,0.0017782174,frog
5TA,frog,0.0045526535,0.05921488,0.19436795,0.069707826,0.11396661,0.103998095,0.29718757,0.09637076,0.011567546,0.049066156,frog,0.00086436304,0.00022458937,0.23018026,0.047810066,0.28409386,0.049472477,0.34285054,0.04277208,0.0013567153,0.0003750744,bird,3.1125937e-06,3.9998444e-08,0.65127766,2.2226583e-05,0.2958562,0.0013271683,0.05122329,0.0002902996,3.9391563e-11,8.113168e-09,frog
5TC,frog,0.010924625,0.060401674,0.13275461,0.08929422,0.13441552,0.11827004,0.24300015,0.12373049,0.017937737,0.06927098,deer,0.00017814497,0.0007171791,0.015038038,0.1928341,0.41076988,0.037681602,0.16920227,0.17025857,0.00024266283,0.0030774586,frog,3.814359e-07,0.00012299078,0.00015256606,0.033438098,0.11429549,0.012646236,0.77738684,0.060887728,5.8742597e-09,0.0010697049,deer
5TE,frog,0.026736127,0.068989396,0.11993578,0.07068107,0.15430608,0.097022384,0.16842525,0.15366766,0.038752556,0.10148372,horse,0.0032533824,0.0011239434,0.17084771,0.05348103,0.16449577,0.21776484,0.031931836,0.35555068,0.000502417,0.0010484034,bird,1.3131475e-06,1.5663574e-06,0.7422031,0.0016336333,0.013976579,0.09967841,0.00022012486,0.14227974,7.9751955e-10,5.585251e-06,dog
5TG,truck,0.11373155,0.08159655,0.07591784,0.07367904,0.10238803,0.11005248,0.08448977,0.11476222,0.10805572,0.13532692,horse,0.022264104,0.012189149,0.07238422,0.23113005,0.04153899,0.16933626,0.016819818,0.4185653,0.01218382,0.0035882248,dog,0.00027500073,0.008520112,0.00016595013,0.25750875,0.0022185445,0.71906215,9.607845e-05,0.012022907,8.632646e-05,4.4146273e-05,horse
5TJ,frog,0.0046396493,0.089165926,0.20858249,0.07171961,0.11039823,0.08864527,0.25217533,0.082649164,0.015843535,0.076180786,bird,0.033105735,0.009703598,0.37038824,0.2995562,0.078872934,0.027975455,0.082830906,0.04016528,0.04752993,0.009871686,cat,0.18048958,0.048351455,0.04836062,0.4106607,0.010805393,0.0008254257,0.12018438,0.10686779,0.0011831647,0.072271556,horse
5TM,ship,0.13248643,0.09960803,0.082725145,0.08784533,0.08287352,0.11642049,0.070923805,0.07858218,0.13552,0.11301508,dog,0.014266032,0.037357796,0.13015951,0.30786845,0.044601496,0.31298292,0.013497336,0.08983277,0.032799013,0.01663466,dog,2.9793458e-07,1.532494e-05,0.0033651895,0.00053222995,0.0007954752,0.99526584,5.4177362e-06,1.8620212e-05,1.1332553e-06,4.814539e-07,dog
5TP,frog,0.024087518,0.059099495,0.1439926,0.08621884,0.12098767,0.13697106,0.19557661,0.15348892,0.022771012,0.056806292,deer,0.008031927,0.0033483522,0.08888016,0.11664098,0.449098,0.042310555,0.108365126,0.16972308,0.010197738,0.0034041218,deer,0.00029936826,1.5399777e-05,0.00030447874,0.0012830304,0.97584176,0.0008799762,0.00094439817,0.020182729,0.00017967622,6.916942e-05,horse
5TY,frog,0.015025017,0.09240225,0.13815077,0.078564115,0.13114937,0.075669475,0.18982188,0.10740283,0.03399541,0.13781892,cat,0.0052897655,0.054862298,0.077336594,0.46730015,0.13673724,0.0641844,0.109104045,0.028546277,0.008436957,0.04820228,cat,0.0004914747,0.009315742,0.0028330507,0.9164207,0.024919651,0.021884704,0.020298665,0.00065449486,3.677272e-06,0.0031777993,frog
5V0,dog,0.03822081,0.06607794,0.08698901,0.14284697,0.098482944,0.24866994,0.15039983,0.09844599,0.02577803,0.044088405,horse,0.0012967329,0.0006115433,0.0036286602,0.26142663,0.16214627,0.16496782,0.085307196,0.315713,0.00040753267,0.0044945506,horse,8.272489e-07,6.4726596e-06,0.0003814316,0.26700467,1.6806807e-05,0.2794033,0.002893061,0.45028815,7.639206e-08,5.1952225e-06,horse
5V2,horse,0.060291577,0.09475981,0.10424236,0.08007582,0.13268833,0.1268632,0.11653538,0.14480822,0.04439724,0.09533804,horse,0.020630505,0.03056975,0.05831241,0.06580188,0.15868093,0.26388353,0.0310292,0.3642118,0.0016985236,0.005181395,horse,0.00011762564,0.00011786393,0.0036420869,0.063840814,0.0013330645,0.06675817,0.0011253521,0.86305064,1.2047511e-08,1.432837e-05,horse
5V4,dog,0.018977508,0.08733637,0.12404634,0.13460712,0.088015825,0.22450489,0.16445653,0.08200973,0.0261325,0.04991318,cat,0.0010955035,0.0028725287,0.019693583,0.5516489,0.14556727,0.086816624,0.06900728,0.113227874,0.0027660509,0.0073044286,cat,9.5443006e-08,1.9177305e-07,0.00040898463,0.9333257,1.19080405e-05,0.05890508,0.00075293623,0.006595137,5.097091e-09,2.9076343e-08,cat
5V6,truck,0.1498044,0.08987083,0.06378337,0.053955372,0.098496735,0.09209657,0.061078545,0.09169515,0.13163412,0.16758491,deer,0.0951257,0.02659044,0.18994027,0.06185688,0.22338378,0.025180012,0.016842112,0.18975519,0.12561241,0.04571316,bird,0.002405394,0.25317842,0.44006574,0.0017255793,0.2783674,0.003129301,0.011807386,0.0038688572,0.0026501876,0.002801697,horse
5VA,frog,0.005626746,0.0986099,0.12715067,0.06849664,0.17345849,0.09177374,0.23304506,0.08239692,0.016785845,0.102655925,deer,0.00012145098,0.020879421,0.042571954,0.10789911,0.5568806,0.091964774,0.15843995,0.015971292,8.4297535e-05,0.005187189,deer,1.0067431e-10,1.118129e-05,0.1279767,3.4209883e-05,0.86608195,8.582133e-05,0.0058054454,4.766345e-06,3.7117702e-14,1.6661396e-08,bird
5VC,deer,0.043744348,0.1105239,0.09458117,0.08122638,0.1701074,0.13547625,0.116829716,0.10776229,0.042087622,0.09766091,deer,0.011438228,0.007341403,0.06821839,0.20809376,0.5359803,0.10340516,0.03436762,0.027572671,0.0005073361,0.003075106,cat,0.010985285,0.00018976182,0.0022748422,0.9723518,0.01167068,0.0014093915,0.0004224269,0.0006817722,3.2012764e-08,1.4017622e-05,dog
5VG,truck,0.06549525,0.1490008,0.053943872,0.052586984,0.1071984,0.069928095,0.056605116,0.058160722,0.10628407,0.2807967,automobile,0.013418864,0.6726109,0.0012735841,0.00886193,0.010924608,0.0018953189,0.00034131587,0.0014188453,0.05775882,0.23149572,automobile,9.003048e-08,0.9969817,1.93533e-07,1.3019865e-08,7.6793655e-10,9.2761056e-08,1.2372158e-07,6.008672e-11,2.5156667e-06,0.0030152255,truck
5VM,airplane,0.30633962,0.06018606,0.03349335,0.05055268,0.075866416,0.09719965,0.041449618,0.054044984,0.16231215,0.118555434,deer,0.061203156,0.010655524,0.061159614,0.021934971,0.51330125,0.050553013,0.14115223,0.01698612,0.07475272,0.048301402,dog,0.0037044086,1.5727632e-05,0.0005111326,0.00018225514,0.13433142,0.8357892,0.025238838,6.8792074e-06,0.00016427564,5.5876517e-05,cat
5VR,dog,0.045044303,0.054320283,0.11935511,0.114970826,0.10427318,0.18884458,0.16226344,0.13920479,0.027290946,0.0444326,horse,0.0059537417,0.0009996948,0.08310366,0.19066766,0.21855916,0.07030981,0.13216741,0.2937953,0.001118011,0.003325478,horse,0.00026827585,3.2539778e-05,0.19957237,0.16229074,0.0103001855,0.0072764354,0.05120679,0.56886667,2.2107324e-06,0.0001837191,horse
5W2,frog,0.011398249,0.0986679,0.1280293,0.060233343,0.15877146,0.07098265,0.16530454,0.13354152,0.026104884,0.14696614,cat,0.0024193567,0.06265562,0.02170406,0.34728044,0.14416313,0.05939533,0.0070451726,0.32844195,0.0018228524,0.025072042,cat,2.3736231e-06,0.01629567,0.0059303925,0.90792876,0.0057413294,0.009602955,5.7827233e-06,0.054471776,3.058322e-09,2.098377e-05,horse
5W4,frog,0.024553187,0.10020791,0.1279334,0.081817254,0.119090326,0.10127527,0.16483773,0.13139045,0.040796753,0.108097695,deer,0.0815268,0.029449478,0.07388164,0.18266715,0.18722987,0.0352208,0.06641455,0.16767797,0.14295937,0.03297239,airplane,0.4165483,0.0021177672,0.00083323003,0.19086692,0.25590894,0.00010309738,0.06666663,0.003245576,0.05393801,0.009771449,frog
5WA,airplane,0.21884425,0.06060168,0.06476637,0.08263116,0.079383366,0.19158098,0.059755087,0.117097765,0.052677248,0.07266212,cat,0.0018458554,0.00174413,0.012324348,0.850187,0.011592652,0.029325778,0.00058732304,0.087035544,4.184884e-05,0.005315572,dog,9.0003067e-07,5.4829134e-06,0.030587262,0.32262236,2.5074408e-07,0.6404643,1.4801015e-05,0.006268696,1.4836252e-10,3.584882e-05,airplane
5WE,truck,0.09252897,0.09124966,0.061001576,0.07084796,0.11480203,0.0819311,0.07592092,0.089507364,0.12226581,0.1999446,deer,0.02200026,0.054404788,0.029727073,0.07530867,0.22644803,0.10072579,0.046040133,0.093068756,0.209296,0.14298041,deer,0.001509116,0.03774011,8.239953e-05,0.0006630578,0.69902647,0.012188651,0.0016169728,7.22528e-05,0.007237584,0.23986337,deer
5WG,dog,0.027445883,0.056561645,0.13385276,0.12138541,0.11803164,0.18528137,0.18152323,0.11679911,0.0210191,0.038099866,deer,0.0008709867,0.0011992115,0.052664533,0.17816132,0.46761295,0.10278495,0.109730415,0.08588966,0.000291734,0.00079416635,deer,1.5722396e-06,0.00016293264,0.0029318805,0.041961536,0.8571214,0.06498854,0.005494058,0.027337514,2.5815938e-08,6.4441195e-07,deer
5WJ,ship,0.14651695,0.1162779,0.042063545,0.07152424,0.10071797,0.09227331,0.048313826,0.044186417,0.17155005,0.16657576,ship,0.061598442,0.17264792,0.0047503677,0.022872198,0.28445807,0.019120572,0.010443049,0.0014344881,0.38275936,0.039915554,deer,0.21195258,0.006364501,3.289763e-07,5.7749534e-05,0.6101551,1.82324e-05,2.3725293e-06,3.4327863e-09,0.1678225,0.0036266274,airplane
5WM,truck,0.045931,0.09554414,0.070430145,0.06431059,0.15451843,0.07246224,0.10574371,0.10591285,0.06972883,0.21541804,deer,0.004295061,0.09455305,0.030510899,0.09578816,0.3484721,0.029548341,0.1770601,0.063554436,0.008695189,0.14752275,frog,3.426204e-05,0.024390336,0.004943071,0.067551725,0.014413219,0.10066293,0.5971476,0.0710568,8.5781365e-05,0.11971434,truck
5WP,airplane,0.21822928,0.11063898,0.052758507,0.060952265,0.0720669,0.12594597,0.042230915,0.061394233,0.14542708,0.110355765,airplane,0.39632744,0.009821476,0.18698938,0.024342814,0.08191682,0.04589743,0.0052837,0.1397666,0.10746438,0.0021899003,bird,0.02203603,0.00017909636,0.9721101,5.796635e-05,8.199453e-06,0.0020727124,0.0014348205,0.0007397737,0.0013614859,4.5862847e-09,horse
5WR,frog,0.02496302,0.11981701,0.12005766,0.10790685,0.10920141,0.14596806,0.1497932,0.08307034,0.052607562,0.08661494,cat,0.005842481,0.0029368903,0.06122338,0.3839135,0.036054242,0.15014611,0.03689494,0.29995608,0.01749713,0.0055351485,cat,6.85433e-05,3.3139655e-05,0.008230316,0.57289743,3.393324e-05,0.13072348,0.00020651141,0.28771287,3.1963722e-05,6.182688e-05,horse
5WT,airplane,0.6695115,0.03335319,0.020323634,0.025971962,0.015196816,0.11366254,0.009192291,0.013458581,0.07674212,0.022587385,airplane,0.6921332,0.0048740185,0.044788294,0.010276747,0.039455745,0.00037447258,0.0005171483,0.0015387565,0.20188498,0.0041565807,airplane,0.6272967,0.050424196,0.010652175,6.4804786e-05,2.5666588e-05,9.234244e-12,1.8088536e-05,1.6489207e-09,0.3113926,0.00012579533,ship
5WW,truck,0.14421853,0.14927946,0.034984354,0.060228013,0.08668372,0.10516263,0.03742985,0.03238806,0.13461961,0.21500567,automobile,0.0026418557,0.80204254,0.0011167614,0.006273533,0.0059898505,0.0007261965,0.001635718,7.838353e-05,0.0018928193,0.17760234,truck,4.786982e-08,0.002138193,1.4539729e-11,1.4887935e-11,2.1091211e-10,3.2887704e-10,3.2062215e-09,1.186959e-10,9.0154567e-10,0.9978618,automobile
5X0,frog,0.00498304,0.10174725,0.17089197,0.08302554,0.118149415,0.099677876,0.26278868,0.066671394,0.016400462,0.07566436,frog,0.0075536696,0.03608593,0.1983164,0.12967099,0.19047755,0.041627094,0.35134396,0.009836142,0.0148647595,0.02022362,frog,0.0004542963,0.00040710528,0.015534874,0.0010482775,0.010426951,0.00062688283,0.97032106,0.00012867812,7.875641e-07,0.0010510564,frog
