Image_RID,True_Class,W76_pred,W76_conf,W76_prob_airplane,W76_prob_automobile,W76_prob_bird,W76_prob_cat,W76_prob_deer,W76_prob_dog,W76_prob_frog,W76_prob_horse,W76_prob_ship,W76_prob_truck,XCE_pred,XCE_conf,XCE_prob_airplane,XCE_prob_automobile,XCE_prob_bird,XCE_prob_cat,XCE_prob_deer,XCE_prob_dog,XCE_prob_frog,XCE_prob_horse,XCE_prob_ship,XCE_prob_truck,YHP_pred,YHP_conf,YHP_prob_airplane,YHP_prob_automobile,YHP_prob_bird,YHP_prob_cat,YHP_prob_deer,YHP_prob_dog,YHP_prob_frog,YHP_prob_horse,YHP_prob_ship,YHP_prob_truck
4RA,bird,frog,0.1525208204984665,0.020869723,0.07542577,0.09249955,0.12863001,0.13959244,0.103579715,0.15252082,0.09829613,0.070565246,0.11802062,cat,0.521605908870697,0.0033948647,0.030225165,0.020506835,0.5216059,0.12996228,0.1921944,0.08211468,0.0068282136,0.007350331,0.005817308,cat,0.9709500074386596,1.5768361e-09,2.4323126e-09,2.1093358e-07,0.97095,7.0934025e-06,0.028751345,0.00029105434,2.549268e-07,3.2242826e-09,4.232879e-11
4RC,dog,ship,0.1402961164712906,0.059405185,0.08678073,0.105416186,0.112191245,0.08739045,0.09678538,0.1131578,0.08445695,0.14029612,0.11411991,dog,0.5346084237098694,0.020993898,0.016242672,0.03741618,0.23867038,0.04688803,0.5346084,0.02804604,0.029340794,0.04390175,0.0038918594,deer,0.7411730289459229,2.8202546e-06,2.0872015e-07,0.0044731987,0.21287347,0.741173,0.03929688,0.00023737174,0.001933208,9.909429e-06,2.497174e-09
4RE,bird,airplane,0.376390665769577,0.37639067,0.045586593,0.0785876,0.04687561,0.038881347,0.06310656,0.035901602,0.13167657,0.072011836,0.11098159,airplane,0.8205572962760925,0.8205573,0.0005594532,0.111034736,0.033396445,0.0015861843,0.0024490762,0.024153534,0.00063446525,0.0052541583,0.00037463752,airplane,0.7186324596405029,0.71863246,1.2830238e-06,0.21035504,8.17145e-05,1.223506e-05,2.601431e-07,0.07091667,1.7413922e-07,9.354912e-08,1.2139616e-07
4RG,dog,horse,0.1980169862508773,0.07601028,0.06368844,0.13541315,0.09098681,0.079461835,0.12457389,0.09076799,0.19801699,0.048311777,0.09276887,bird,0.3306168019771576,0.021011679,0.04660719,0.3306168,0.07208663,0.035570323,0.1835564,0.30159244,0.0006271883,0.0065124473,0.0018189221,frog,0.9843624830245972,1.1569441e-05,1.745765e-08,0.00020066193,0.00031140778,4.108237e-07,0.015112684,0.9843625,8.0932443e-07,1.6419686e-09,7.6908174e-11
4RJ,airplane,airplane,0.3471531569957733,0.34715316,0.04893349,0.09489915,0.041903157,0.012026816,0.036999255,0.039509322,0.058723796,0.20998004,0.10987181,ship,0.8505156636238098,0.13104495,0.0002476153,0.0057009235,0.00041840872,0.00054697524,0.00026073548,0.0013581242,9.363629e-06,0.85051566,0.009897229,ship,0.9999344348907472,6.5316395e-05,2.2036231e-12,1.783714e-07,1.0088633e-08,1.7176932e-08,3.6050913e-09,5.907672e-08,8.472526e-15,0.99993443,2.64639e-09
4RM,bird,frog,0.237411692738533,0.0073635224,0.062059775,0.0891589,0.14664306,0.12410268,0.105689295,0.2374117,0.07743208,0.05990521,0.090233766,deer,0.2961365878582001,0.024836114,0.16728255,0.11885676,0.18356319,0.2961366,0.08119891,0.08543289,0.015718233,0.01644144,0.010533397,deer,0.9858924746513368,7.325209e-07,0.0019619465,0.0022331043,0.009296871,0.9858925,0.0003036629,0.0002797167,3.1490043e-05,4.984839e-08,1.976443e-08
4RP,bird,truck,0.2653974294662475,0.018262163,0.09491662,0.08409496,0.07031232,0.11909132,0.043305207,0.12233119,0.04556058,0.13672824,0.26539743,bird,0.2702670097351074,0.026120488,0.027714573,0.270267,0.035474017,0.11135595,0.012114343,0.2607896,0.0044604647,0.10612253,0.14558098,frog,0.8571372628211975,5.2701995e-05,1.1364782e-07,0.072958276,1.0663943e-05,0.06941381,2.2764557e-06,0.85713726,1.2999017e-09,0.0004240932,7.4681014e-07
4RR,ship,airplane,0.4395030438899994,0.43950304,0.072669104,0.041447066,0.042242255,0.030313168,0.04863925,0.022650803,0.049960043,0.12028377,0.13229151,ship,0.7177501320838928,0.17704123,0.018154679,0.0023152458,0.00600473,0.0023182218,0.0026335304,0.0041090916,9.554443e-06,0.71775013,0.06966344,ship,0.967542827129364,0.022945514,0.0035398076,0.003756083,1.1884799e-05,5.0252453e-05,5.7404765e-09,1.0470703e-06,4.264914e-15,0.9675428,0.0021525724
4RT,frog,frog,0.2186544239521026,0.010016282,0.048497725,0.11861901,0.11848515,0.069334045,0.05297795,0.21865442,0.12733069,0.07612675,0.15995793,bird,0.4318997263908386,0.03388336,0.016576977,0.43189973,0.10838371,0.014938473,0.039486974,0.14897533,0.07165926,0.066886745,0.06730942,frog,0.4514150619506836,0.0012707659,0.0023476596,0.034186486,0.049221024,0.00017997486,0.008894535,0.45141506,0.35238385,0.0007538055,0.09934686
4RW,ship,airplane,0.3157399892807007,0.31574,0.08956619,0.05926623,0.038967244,0.032569252,0.038862985,0.027403815,0.051606253,0.16547696,0.180541,truck,0.3604321777820587,0.10057697,0.34102294,0.0069892323,0.005929877,0.0077587254,0.010451809,0.0036861608,0.0015655182,0.16158657,0.36043218,automobile,0.6169770956039429,0.042328678,0.6169771,0.024342287,4.2827837e-06,0.00018701356,5.139872e-07,0.00015546744,1.9309963e-10,0.21049333,0.10551132
4RY,airplane,horse,0.225742757320404,0.10929758,0.05235865,0.09512131,0.071157165,0.06692025,0.05426253,0.078056484,0.22574276,0.08077403,0.16630934,frog,0.485550194978714,0.013531574,0.003836504,0.1748663,0.13505451,0.04860611,0.028613877,0.4855502,0.025626378,0.050313678,0.034000777,frog,0.9246768355369568,8.5242823e-07,4.5623867e-08,0.019607296,9.706123e-05,0.006066405,0.022396864,0.92467684,0.02715414,1.7752824e-09,4.573288e-07
4S0,truck,truck,0.3417454361915588,0.033408195,0.08529299,0.05621749,0.062270667,0.1070504,0.03378205,0.075690284,0.07217457,0.13236783,0.34174544,truck,0.8351888656616211,0.0022800772,0.060128693,0.0013511967,0.012794661,0.033757903,0.024720158,0.0064082546,0.002962744,0.020407405,0.83518887,deer,0.7117476463317871,2.4168867e-06,3.9998056e-05,0.00028366753,0.00028506378,0.71174765,0.14689536,3.7140107e-06,0.014159878,1.1605969e-05,0.12657063
4S2,ship,airplane,0.2461922168731689,0.24619222,0.0902095,0.073730715,0.03872199,0.029909495,0.036561184,0.02926864,0.032534163,0.23753524,0.18533684,ship,0.5387170910835266,0.3109564,0.013136597,0.027297767,0.00080834725,0.0019795531,0.0023751804,0.0006265611,6.104539e-05,0.5387171,0.10404151,ship,0.9996294975280762,0.00020092199,1.7857066e-06,9.334175e-05,4.2078518e-11,3.9948674e-07,2.7638272e-11,6.164054e-11,4.591591e-15,0.9996295,7.412395e-05
4S4,bird,frog,0.1614396125078201,0.025363475,0.07899556,0.098232865,0.11194331,0.13736376,0.10046393,0.16143961,0.08894205,0.080338314,0.116917074,deer,0.341721773147583,0.029787954,0.010275639,0.19215003,0.07770969,0.34172177,0.08509339,0.20355248,0.02133024,0.030573154,0.007805566,deer,0.9162640571594238,4.6337384e-05,7.439411e-07,0.0756922,7.571988e-05,0.91626406,0.00014825644,0.007720619,1.2321807e-07,5.1901545e-05,5.445338e-09
4S6,dog,horse,0.2712396383285522,0.022436846,0.04441526,0.11686904,0.12799327,0.055571496,0.119169295,0.15468977,0.27123964,0.026308244,0.06130718,horse,0.2661169171333313,0.034260206,0.23318449,0.11068241,0.108890794,0.09251532,0.060612172,0.037594922,0.26611692,0.006977511,0.049165238,deer,0.8162820339202881,2.5335561e-05,0.0014910267,0.045558643,0.00077328476,0.81628203,0.00025054283,0.00021582186,0.13540138,1.8358857e-07,1.7635102e-06
4S8,frog,frog,0.372245579957962,0.002967182,0.028235156,0.11319104,0.19207735,0.03724288,0.115380034,0.37224558,0.070977494,0.03764491,0.0300383,cat,0.3396782875061035,0.004797713,0.0482209,0.24534371,0.3396783,0.013836271,0.022381872,0.2821811,0.010822017,0.030843716,0.0018944206,cat,0.908515691757202,1.526249e-05,4.527417e-05,0.047747295,0.9085157,0.0018353938,0.0002523202,0.041502513,8.493239e-05,1.3470096e-06,5.415754e-08
4SA,frog,frog,0.2579415440559387,0.010310018,0.042186245,0.109946355,0.18062603,0.06477613,0.1696912,0.25794154,0.08035497,0.047696672,0.036470767,cat,0.3043496608734131,0.018883497,0.01610888,0.12258703,0.30434966,0.0998389,0.13673134,0.21450408,0.02000761,0.06365035,0.0033386715,cat,0.844683825969696,5.668186e-07,2.1337598e-06,0.05797565,0.8446838,0.05965156,0.024061877,0.01243442,0.0011858513,4.1863696e-06,2.7849079e-09
4SC,ship,ship,0.1786184459924698,0.11314129,0.09012417,0.08924901,0.09591669,0.06666355,0.09981259,0.0928743,0.0648677,0.17861845,0.1087322,ship,0.7859629988670349,0.060102113,0.011008166,0.024423795,0.023663636,0.017803365,0.017032493,0.021686299,0.0023096383,0.785963,0.036007505,ship,0.9972061514854432,0.00011732211,1.1102437e-05,0.00202629,0.00032663063,5.1662137e-05,3.6557893e-05,8.91508e-06,4.4638148e-07,0.99720615,0.00021483604
4SE,bird,truck,0.2641567885875702,0.037552428,0.082275815,0.06421677,0.07837817,0.13268425,0.04627732,0.091675036,0.08307037,0.1197131,0.2641568,deer,0.3781590163707733,0.014651076,0.027355293,0.008053244,0.06747463,0.37815902,0.02819007,0.03536849,0.018627714,0.09458983,0.32753053,deer,0.9998779296875,1.2591087e-07,7.686556e-07,6.033192e-06,1.900816e-06,0.9998779,0.00010220003,3.1189316e-07,2.1496864e-07,6.234033e-06,4.3093437e-06
4SG,automobile,bird,0.1482351422309875,0.055446647,0.083899125,0.14823514,0.13146959,0.06668756,0.13916871,0.12031234,0.10916365,0.0542448,0.09137242,automobile,0.5778525471687317,0.030617032,0.57785255,0.15233439,0.045739338,0.028441284,0.024401328,0.012938938,0.002702865,0.0047313166,0.12024095,automobile,0.8894453644752502,3.810575e-05,0.88944536,0.10978566,9.883987e-06,1.9416833e-05,2.2309484e-08,2.3807022e-05,3.225461e-07,2.0156509e-05,0.0006574261
4SJ,deer,truck,0.2781865894794464,0.01682718,0.07827406,0.09777347,0.0805295,0.104661174,0.036697026,0.13119274,0.079411946,0.09644623,0.2781866,deer,0.1819841712713241,0.025107268,0.18025501,0.073400415,0.130073,0.18198417,0.028141368,0.08282504,0.0029562532,0.11403433,0.18122315,dog,0.6994684338569641,0.00011052404,0.00011437957,0.00018988876,0.027954118,0.24153218,0.69946843,0.025598165,0.0031784573,0.0015775682,0.00027623674
4SM,cat,dog,0.2849745452404022,0.031074807,0.038540393,0.10010619,0.15371206,0.068591,0.28497455,0.14657016,0.11136636,0.03319961,0.031864814,cat,0.5760818123817444,0.0039473814,0.0010317286,0.06688986,0.5760818,0.039745737,0.15370901,0.11014948,0.03982259,0.0010686602,0.0075537567,cat,0.6897086501121521,9.813098e-09,5.046506e-09,0.0002404598,0.68970865,0.024162287,0.019462328,5.6260546e-05,0.2663701,6.132171e-09,2.963344e-10
4SP,frog,frog,0.295376569032669,0.0048814956,0.032992136,0.10215603,0.1891213,0.05200205,0.108307734,0.29537657,0.13803616,0.030221833,0.046904724,cat,0.2288580536842346,0.089348055,0.11691206,0.09172141,0.22885805,0.1474108,0.04287168,0.108841285,0.05786662,0.07389101,0.04227907,deer,0.7345256805419922,0.0646096,0.010059384,0.010732056,0.029451502,0.7345257,0.0007780428,0.114381164,0.035257246,7.6075296e-05,0.00012922467
4SR,bird,frog,0.2981759011745453,0.0063940487,0.021637958,0.12688893,0.14129966,0.037781063,0.13160077,0.2981759,0.16986975,0.03198364,0.034368187,bird,0.3674695193767547,0.003354887,0.0014734702,0.36746952,0.08703513,0.010075191,0.22844484,0.0862765,0.20982233,0.004354658,0.0016935036,dog,0.6656270027160645,5.3836166e-06,9.84678e-05,0.18887176,0.009126933,0.0024626039,0.665627,0.03135429,0.10244377,1.6180395e-07,9.695298e-06
4ST,ship,truck,0.4084828495979309,0.06603002,0.077565685,0.05448677,0.054244798,0.05622501,0.019996257,0.04738588,0.08174453,0.13383819,0.40848285,truck,0.8612661957740784,0.02672467,0.011366567,0.0006432564,0.0004917688,0.0007757814,0.00040657618,0.00011798715,9.1268754e-05,0.09811582,0.8612662,truck,0.9983672499656676,6.299896e-07,0.0014667526,3.7380434e-07,1.9598864e-11,1.5974939e-07,4.8138318e-08,1.2085391e-10,3.0598996e-11,0.00016479657,0.99836725
4SW,cat,truck,0.4511435925960541,0.06884096,0.080467336,0.06543946,0.034681495,0.066583715,0.023650296,0.03425359,0.062607855,0.11233172,0.4511436,truck,0.6440350413322449,0.034846015,0.09892756,0.13631716,0.031502157,0.010637123,0.019948358,0.0034859874,0.0016521497,0.018648406,0.64403504,bird,0.967800498008728,1.6502104e-06,5.583503e-05,0.9678005,0.00089858257,0.030196903,0.00053761405,2.138699e-07,2.7796688e-08,1.5721365e-07,0.00050862087
4SY,ship,truck,0.2353259921073913,0.052335348,0.094514124,0.10586663,0.0684617,0.11386955,0.061842423,0.08970038,0.074866235,0.10321765,0.23532599,truck,0.3497670888900757,0.012408074,0.08865813,0.095240496,0.024289573,0.26306978,0.01586853,0.1136195,0.0063476493,0.030731218,0.3497671,bird,0.848307192325592,3.1789226e-05,0.014076933,0.8483072,0.0001529938,0.062904835,0.000121568286,0.068141215,0.0005789988,0.00027467514,0.005409838
4T0,ship,truck,0.3440990149974823,0.08045713,0.12853372,0.037525896,0.05220787,0.068282366,0.024809623,0.03808803,0.03781905,0.18817739,0.34409901,ship,0.5114144682884216,0.0071147513,0.10404998,0.0001377796,0.0044999085,0.004585877,0.00052052154,0.0006385384,3.4918496e-05,0.51141447,0.3670032,ship,0.9960317015647888,1.4296381e-06,5.663357e-06,1.01811635e-08,4.981801e-08,7.5968575e-07,3.7208667e-10,2.5181204e-10,1.0620635e-15,0.9960317,0.003960376
4T2,truck,truck,0.4371582567691803,0.0569746,0.07674233,0.058320407,0.040858373,0.050504494,0.01825286,0.041210044,0.05047233,0.16950633,0.43715826,truck,0.8898895382881165,0.0015728191,0.006489463,0.0010836824,0.0009974443,0.0005173883,9.881047e-05,0.00044145162,9.17286e-05,0.098817624,0.88988954,truck,0.5814483761787415,8.701377e-09,1.5470274e-05,2.1295975e-06,4.377483e-08,4.6398338e-08,6.0661296e-07,4.4198298e-10,4.6365162e-08,0.41853327,0.5814484
4T4,automobile,truck,0.2894789278507232,0.014885992,0.11416843,0.06570912,0.09533488,0.070052154,0.030444114,0.11386583,0.041035548,0.16502497,0.28947893,automobile,0.6661571860313416,0.055595115,0.6661572,0.0026550032,0.0038772095,0.0003949196,0.0011006368,0.0002530658,0.00050419854,0.06940431,0.2000584,automobile,0.9823492169380188,0.0006227756,0.9823492,2.2094793e-05,7.874814e-06,2.2494856e-08,1.0036513e-09,2.362676e-08,1.9340851e-07,0.0015557761,0.01544208
4T6,dog,frog,0.316533088684082,0.005547022,0.02253681,0.061847713,0.17850538,0.046409808,0.22760908,0.3165331,0.10369809,0.022869693,0.01444336,frog,0.7326000332832336,0.001614744,0.003707974,0.00441641,0.08335351,0.027616978,0.1352013,0.73260003,0.007894899,0.0017502514,0.0018439081,frog,0.9744114875793456,4.444313e-09,1.5177932e-06,5.6981486e-07,4.0310017e-05,0.020809738,0.0047313757,0.9744115,4.9970686e-06,2.692309e-12,2.2004971e-09
4T8,horse,frog,0.2829744219779968,0.006319299,0.032211684,0.18302007,0.12903088,0.045639463,0.062565595,0.28297442,0.0883544,0.070146434,0.099737816,bird,0.6159249544143677,0.049063873,0.0017708988,0.61592495,0.14828214,0.0025155055,0.009112852,0.04743718,0.0029024133,0.11900436,0.003985811,cat,0.7256981730461121,0.18683161,0.00020229325,0.07033832,0.7256982,6.415073e-06,0.0015738223,0.013062067,0.000331022,0.0019473016,9.018647e-06
4TA,airplane,airplane,0.6423313021659851,0.6423313,0.029345872,0.05260506,0.023509925,0.013630814,0.035399865,0.017356144,0.059029277,0.06606768,0.060724135,airplane,0.9937450289726256,0.993745,7.023489e-06,0.002601058,8.9741414e-05,0.00035317973,9.026345e-05,0.00014380779,2.479822e-05,0.0028824646,6.267327e-05,airplane,0.9999977350234984,0.99999774,4.6385883e-15,2.1769697e-09,7.502181e-11,1.1452444e-07,1.6059431e-14,1.8730473e-08,2.4842002e-17,2.1738695e-06,9.344752e-12
4TC,deer,frog,0.1698722690343856,0.030054038,0.0661492,0.095918156,0.13028707,0.11945084,0.13344489,0.16987227,0.10096496,0.07575751,0.07810105,cat,0.2458238750696182,0.018173203,0.0027184116,0.06280879,0.24582388,0.2147981,0.23607701,0.17712376,0.019611428,0.019570481,0.003295022,deer,0.974672555923462,8.235273e-05,2.7303575e-08,0.0049927575,0.01804722,0.97467256,0.001308027,0.0008824081,6.626416e-07,1.3988146e-05,1.6047569e-09
4TE,horse,truck,0.1327470541000366,0.054202635,0.08678887,0.0842376,0.11741182,0.089812584,0.106633306,0.122021735,0.12251792,0.08362643,0.13274705,automobile,0.2946343719959259,0.049609248,0.29463437,0.0042733285,0.053458266,0.20069394,0.06983154,0.022539183,0.053868126,0.02801658,0.22307537,deer,0.8681184649467468,1.9424642e-06,0.044551037,2.8725219e-05,0.00015083901,0.86811846,0.00012907114,2.1232158e-07,0.08701554,3.543304e-07,3.7343555e-06
4TG,frog,frog,0.1985738575458526,0.018301751,0.06293731,0.11706343,0.12392713,0.10016223,0.0814711,0.19857386,0.10892678,0.07642749,0.11220887,frog,0.428049087524414,0.0076793693,0.0066700876,0.18385409,0.16996863,0.09916773,0.03753408,0.4280491,0.044465564,0.012727339,0.00988409,frog,0.5429022312164307,7.8437646e-05,2.309443e-05,0.03578008,0.15570632,0.2638183,0.0011852009,0.54290223,0.00049518433,9.862404e-06,1.2465338e-06
4TJ,airplane,truck,0.2385708391666412,0.06791642,0.11899957,0.06635839,0.06746642,0.09469545,0.05322409,0.059203144,0.04292849,0.1906372,0.23857084,ship,0.5126495957374573,0.065933384,0.21198936,0.00525075,0.009082703,0.04911674,0.019584088,0.0017667798,0.0011198722,0.5126496,0.123506725,ship,0.7077723741531372,0.0076433877,0.01881021,0.0015694208,5.377489e-05,0.26358184,4.194954e-06,1.5460994e-08,6.139598e-09,0.7077724,0.0005647825
4TM,bird,ship,0.2539977729320526,0.1619566,0.079718865,0.06984837,0.034970764,0.041757192,0.02893504,0.03650521,0.044643823,0.25399777,0.24766631,ship,0.8638839721679688,0.073196225,0.0061239735,0.029189736,0.00033568978,0.0052223178,0.001771602,0.0031561009,0.00036551058,0.863884,0.016754834,ship,0.998976230621338,1.602342e-05,9.891302e-07,0.0009857956,3.874281e-12,6.0382284e-08,3.5987457e-09,4.3634266e-10,4.0886606e-13,0.99897623,2.0919437e-05
4TP,frog,frog,0.2122873216867447,0.009839666,0.053539567,0.061515592,0.12261522,0.1601795,0.118102595,0.21228732,0.10241699,0.057592902,0.10191071,cat,0.3519522845745086,0.02030335,0.007613832,0.01471508,0.35195228,0.16083579,0.15275855,0.258409,0.008027461,0.018040322,0.007344352,frog,0.5699260234832764,0.19186047,0.00046212942,0.001497747,0.20723836,0.01583396,0.011763536,0.569926,8.480395e-09,0.0014098904,7.912468e-06
4TR,horse,truck,0.450909823179245,0.014490368,0.067078464,0.059792366,0.055391297,0.09816785,0.019856619,0.06056494,0.10631302,0.06743525,0.45090982,truck,0.3111728131771087,0.0009621406,0.27193123,0.013950091,0.25370732,0.052683577,0.015555798,0.005184821,0.07358062,0.0012715928,0.3111728,horse,0.890567421913147,5.22031e-12,6.7337817e-07,9.318297e-06,0.004802732,0.1046108,9.013956e-06,9.1204416e-10,0.8905674,8.807529e-16,1.1696906e-07
4TT,bird,frog,0.2156346291303634,0.009875354,0.054957088,0.10970519,0.104177065,0.12493144,0.09634738,0.21563463,0.077833526,0.08365722,0.122881085,frog,0.3309199512004852,0.014244244,0.008223317,0.24269378,0.10100035,0.050100688,0.2008427,0.33091995,0.02075426,0.014539245,0.016681464,frog,0.9399440884590148,0.0001353491,2.2708225e-06,0.00076028734,0.0007085775,0.00022320742,0.05817632,0.9399441,2.6173413e-07,6.4337144e-07,4.902122e-05
4TW,dog,horse,0.1763186752796173,0.07099052,0.062205177,0.112452865,0.095599815,0.08734152,0.120390944,0.10251675,0.17631868,0.073460944,0.09872281,dog,0.776870846748352,0.056143686,0.002384646,0.024170341,0.015976686,0.03742152,0.77687085,0.0020660716,0.07498894,0.0077166846,0.0022606472,dog,0.9987045526504515,1.7769726e-05,1.0222275e-09,2.93898e-06,0.0003816905,0.0004946273,0.99870455,8.595882e-07,0.0003967192,8.053742e-07,1.9501574e-08
4TY,dog,truck,0.132389485836029,0.044494465,0.086955376,0.055858515,0.12964396,0.11171322,0.10979377,0.1237533,0.101221405,0.10417642,0.13238949,cat,0.5812283754348755,0.060059138,0.057131372,0.0009194693,0.5812284,0.031368952,0.06457071,0.0115829855,0.019735489,0.014749607,0.1586539,cat,0.9926251769065856,5.0509607e-06,7.317755e-05,8.386719e-09,0.9926252,0.000931037,0.005545917,3.1182515e-07,3.3155524e-05,1.3270034e-07,0.00078603835
